make,model,zmienna,wartość
Audi,A3,body_type,hatchback
Audi,A3,doors,5.0
Audi,A3,top_speed,220
Audi,A3,acceleration,7.2
Audi,A3,fuel_consumption,6.0
Audi,A3,engine,1.5 TFSI
Audi,A3,description,Audi A3 1.5 TFSI
Audi,A3,displacement,1498.0
Audi,A3,horsepower,150.0
Audi,A3,fuel_type,gasoline
Audi,A3,cylinders,4.0
Audi,A3,emissions_class,Euro 6d
Audi,Q5,body_type,SUV
Audi,Q5,doors,5.0
Audi,Q5,top_speed,237
Audi,Q5,acceleration,6.3
Audi,Q5,fuel_consumption,
Audi,Q5,engine,45 TFSI quattro
Audi,Q5,description,Audi Q5 45 TFSI quattro
Audi,Q5,displacement,1984.0
Audi,Q5,horsepower,245.0
Audi,Q5,fuel_type,gasoline
Audi,Q5,cylinders,4.0
Audi,Q5,emissions_class,Euro 6
BMW,3 Series,body_type,sedan
BMW,3 Series,doors,4.0
BMW,3 Series,top_speed,240
BMW,3 Series,acceleration,6.2
BMW,3 Series,fuel_consumption,
BMW,3 Series,engine,2.0L TwinPower Turbo
BMW,3 Series,description,BMW 3 Series 2.0L TwinPower Turbo
BMW,3 Series,displacement,1998.0
BMW,3 Series,horsepower,184.0
BMW,3 Series,fuel_type,gasoline
BMW,3 Series,cylinders,4.0
BMW,3 Series,emissions_class,Euro 6d
Fiat,500,body_type,hatchback
Fiat,500,doors,3.0
Fiat,500,top_speed,160
Fiat,500,acceleration,12.9
Fiat,500,fuel_consumption,
Fiat,500,engine,0.9 TwinAir
Fiat,500,description,Fiat 500 0.9 TwinAir
Fiat,500,displacement,875.0
Fiat,500,horsepower,85.0
Fiat,500,fuel_type,gasoline
Fiat,500,cylinders,2.0
Fiat,500,emissions_class,Euro 6d-TEMP
Fiat,Panda,body_type,hatchback
Fiat,Panda,doors,5.0
Fiat,Panda,top_speed,165
Fiat,Panda,acceleration,14.5
Fiat,Panda,fuel_consumption,5.0
Fiat,Panda,engine,1.2 8v
Fiat,Panda,description,Fiat Panda 1.2 8v
Fiat,Panda,displacement,
Fiat,Panda,horsepower,
Fiat,Panda,fuel_type,
Fiat,Panda,cylinders,
